,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
5550,11340648,-25.8,-34.7,11.2,186.7,1009.0,0.0,50.8,10.0,6.3,1000.0,Clear,1.0,0.0,2022-02-05 15:00,68.4800033569336,-149.479995727539
5551,11340981,-3.9,-8.76,6.8,230.0,1031.2,0.0,71.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,32.1300010681152,-101.790000915527
5552,11341314,16.3,16.3,11.2,310.0,1021.0,0.0,23.2,10.0,75.0,1003.0,Partly cloudy,4.0,1.0,2022-02-05 15:00,35.4799995422363,8.13000011444092
5553,11341647,11,8.13,25.9,270.0,1017.9,0.1,66.0,10.0,50.0,1003.0,Partly cloudy,3.0,1.0,2022-02-05 15:00,31.6800003051758,38.6699981689453
5554,11341980,27.9,29.2,10.8,72.7,1012.8,0.0,56.0,10.0,27.7,1003.0,Partly cloudy,7.0,1.0,2022-02-05 15:00,-12.4200000762939,-41.7700004577637
5555,11342313,6.8,6.5,4.0,103.0,1022.8,0.0,86.3,10.0,66.3,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,26.2600002288818,107.519996643066
5556,11342979,-17.1,-23.1,8.6,150.9,1030.9,0.0,64.8,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,49.3800010681152,75.5199966430664
5557,11343312,-28.6,-33.0,4.0,273.8,1037.9,0.0,98.8,0.0,89.8,1147.0,Freezing fog,1.0,0.0,2022-02-05 15:00,53.5699996948242,115.569999694824
5558,11343645,27.3,25.4,15.5,65.1,1009.1,0.0,11.5,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,9.52000045776367,49.0800018310547
5559,11343978,-20.9,-27.6,8.6,297.8,1035.2,0.0,95.8,2.0,49.8,1030.0,Mist,1.0,0.0,2022-02-05 15:00,50.6300010681152,113.580001831055
5560,11344311,-3.3,-11.39,13.0,260.0,1009.8,0.0,74.0,10.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,47.3300018310547,-106.930000305176
5561,11344644,10.6,10.9,3.6,240.2,1005.6,0.0,29.2,10.0,59.5,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,37.4700012207031,69.6699981689453
5562,11344977,-7.8,-17.6,38.2,116.0,1022.3,0.0,62.1,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,47.8499984741211,72.0800018310547
5563,11345310,-28.1,-32.8,4.3,243.8,1038.5,0.0,99.0,0.0,88.1,1147.0,Freezing fog,1.0,0.0,2022-02-05 15:00,53.5800018310547,113.769996643066
5564,11345643,0,-1.93,15.1,290.0,1027.8,0.0,42.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,35.7000007629395,-83.5
