lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability,Power (W)
54.5,1.5,283.71,1011,74,279.28,0.0,100,15.54,306,22.41,0.37046093,6361034.09
54.5,2.0,282.15,1010,73,277.58,0.0,100,17.38,304,23.61,0.4139515,7438581.31
55.0,-8.0,281.79,1022,91,280.41,0.09,100,8.74,282,14.81,0.52118504,1835977.39
55.0,-7.5,284.07,1022,84,281.48,0.1,100,7.51,284,13.61,0.69911295,1424874.22
55.0,-7.0,282.88,1021,82,279.96,0.0,40,7.72,280,18.33,0.65035033,3480883.98
55.0,-6.5,283.17,1021,83,280.42,0.0,82,8.39,295,16.01,0.4234825,2319402.65
55.0,-6.0,282.77,1020,84,280.2,0.0,76,11.09,290,18.21,0.6772514,3412966.23
55.0,-5.5,283.47,1020,83,280.71,0.0,80,14.84,298,20.51,0.5620157,4876397.89
55.0,-5.0,282.49,1019,87,280.44,0.0,100,12.75,301,19.01,-0.15365551,3882831.14
55.0,-4.5,282.32,1018,84,279.76,0.0,100,10.24,299,20.61,0.55352837,4948073.34
55.0,-4.0,282.16,1017,75,277.97,0.0,71,9.87,296,20.71,0.70763075,5020447.73
55.0,-3.5,282.85,1017,73,278.25,0.0,100,10.51,294,17.51,0.35348737,3034314.49
55.0,-3.0,283.1,1016,75,278.88,0.0,100,8.9,284,17.81,0.42289448,3192963.19
55.0,-2.5,281.74,1014,73,277.18,0.0,75,12.35,280,18.33,0.12945996,3480883.98
55.0,-2.0,282.65,1014,70,277.46,0.0,93,12.16,287,22.21,0.61794066,6192240.69
55.0,-1.5,283.33,1012,67,277.48,0.0,20,10.8,280,18.33,0.60235316,3480883.98
55.0,-1.0,283.64,1013,69,278.2,0.0,100,14.66,299,20.91,0.6152708,5167306.85
55.0,-0.5,283.71,1012,72,278.88,0.0,100,14.49,299,20.81,0.69672805,5093524.43
55.0,0.0,283.38,1012,72,278.56,0.0,100,15.74,301,21.81,0.60774136,5863664.99
55.0,0.5,283.71,1011,73,279.08,0.0,100,16.27,301,21.91,0.60772,5944691.01
55.0,1.0,283.71,1010,73,279.08,0.0,95,16.4,304,22.31,0.5251306,6276259.10
